frame,id,real_x,real_y
1911,180,0.61,14.1
1912,180,0.63,14.09
1913,180,0.63,14.09
1914,180,0.61,14.1
1915,180,0.63,14.09
1916,180,0.63,14.09
1917,180,0.63,14.09
1918,180,0.64,13.96
1919,180,0.64,13.96
1920,180,0.63,13.83
1921,180,0.62,13.96
1922,180,0.62,13.96
1923,180,0.62,13.96
1924,180,0.62,13.96
1925,180,0.62,13.83
1926,180,0.62,13.83
1927,180,0.61,13.7
1928,180,0.61,13.7
1929,180,0.61,13.7
1930,180,0.61,13.7
1931,180,0.59,13.71
1932,180,0.59,13.71
1933,180,0.59,13.71
1934,180,0.59,13.71
1935,180,0.61,13.7
1936,180,0.59,13.71
1937,180,0.6,13.57
1938,180,0.6,13.57
1939,180,0.6,13.57
1940,180,0.6,13.57
1941,180,0.6,13.57
1942,180,0.59,13.58
1943,180,0.59,13.58
1944,180,0.59,13.58
1945,180,0.59,13.58
1946,180,0.59,13.58
1947,180,0.59,13.71
1948,180,0.59,13.71
1949,180,0.59,13.71
1950,180,0.6,13.84
1951,180,0.61,13.97
1952,180,0.61,13.97
1953,180,0.61,14.1
1954,180,0.61,14.1
1955,180,0.61,14.1
1956,180,0.61,14.1
1957,180,0.61,14.1
1958,180,0.61,14.1
1959,180,0.61,14.1
1960,180,0.6,14.11
1961,180,0.61,14.1
1962,180,0.59,13.98
1963,180,0.59,13.98
1964,180,0.58,13.84
1965,180,0.6,13.84
1966,180,0.59,13.71
1967,180,0.59,13.71
1968,180,0.58,13.84
1969,180,0.58,13.84
1970,180,0.6,13.84
1971,180,0.59,13.98
1972,180,0.59,13.98
1973,180,0.61,14.1
1974,180,0.6,13.84
1975,180,0.61,13.97
1976,180,0.59,13.98
1977,180,0.6,14.11
1978,180,0.58,14.11
1979,180,0.58,14.11
1980,180,0.6,14.24
1981,180,0.6,14.51
2003,180,0.57,13.32
2004,180,0.55,13.33
2005,180,0.55,13.2
2006,180,0.55,13.33
2007,180,0.55,13.33
